Customer_ID,Age,Gender,Location,Preferred_Shopping_Channel,Total_Purchase_Amount,Avg_Purchase_Amount,Num_Orders,Avg_Rating,Discount_Usage_Rate,Return_Rate,CLV,Loyalty_Score,Payment_Method,Customer_Segment,Churn,Cluster
10001,44.5,Male,Chicago,In-store,145.01455633505475,72.50727816752737,2,3.5,0.0,0.5,485.826527937436,22.0,Credit Card,New,0,0
10004,40.0,Female,New York,Online,257.54550923354077,257.54550923354077,1,2.0,0.0,0.0,2305.3643795382754,48.0,Cash,Regular,1,2
10005,32.0,Other,Chicago,Both,453.1684177354036,453.1684177354036,1,4.0,0.0,0.0,4522.924673598925,94.0,Cash,VIP,1,1
10009,39.0,Female,New York,Online,721.4871219425329,240.49570731417762,3,2.3333333333333335,0.6666666666666666,0.0,3285.25246256539,20.0,Bank Transfer,New,0,0
10011,43.0,Female,Los Angeles,Online,89.68786519470136,89.68786519470136,1,2.0,0.0,0.0,965.2206861534579,90.0,Bank Transfer,VIP,0,1
10013,62.0,Male,New York,Both,159.9429915523822,159.9429915523822,1,5.0,0.0,0.0,1404.605456240575,5.0,Bank Transfer,New,0,2
10021,36.0,Female,San Francisco,In-store,193.8681549234882,193.8681549234882,1,4.0,0.0,1.0,2858.544767690968,13.0,PayPal,New,0,2
10038,51.0,Other,Los Angeles,Online,323.3813749248825,323.3813749248825,1,3.0,0.0,0.0,3824.319236182622,22.0,Cash,New,1,2
10054,22.0,Other,Houston,In-store,304.107119420365,304.107119420365,1,1.0,1.0,0.0,1635.092188104462,93.0,PayPal,VIP,1,1
10055,23.0,Female,Los Angeles,Online,267.3001750896996,267.3001750896996,1,5.0,0.0,0.0,2176.660509916289,21.0,Cash,New,1,2
10060,22.0,Other,Houston,Online,62.99857259523926,62.99857259523926,1,4.0,1.0,0.0,661.726672070271,37.0,PayPal,New,1,2
10064,68.0,Male,New York,Online,281.2301338250198,281.2301338250198,1,1.0,0.0,1.0,2987.126736484649,65.0,Cash,Regular,1,1
